item,Condition,HomeColorPatternMiddle,DestinationColorPattern4,Predict,group,ColorTest,ColorFill,ColorCheck,L1H,L2H,L3H,M1H,M2H,M3H,M4H,R1H,R2H,R3H,L1D,L2D,L3D,M1D,M2D,M3D,M4D,R1D,R2D,R3D
1,Critical,TTTC,TTFT,?,1,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,red,blue,blue,red,yellow
1,ControlTrue,TTTC,TTFF,Visible,2,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,red,red,blue,red,yellow
1,ControlFalse,TTTC,TTTF,Covered,3,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,blue,red,blue,red,yellow
1,CriticalCheck,CCCF,TTFF,?,4,blue,red,yellow,blue,blue,yellow,yellow,yellow,yellow,red,blue,red,yellow,blue,red,yellow,blue,blue,red,red,blue,red,yellow
2,Critical,TTTC,TTFT,?,2,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,red,blue,blue,red,yellow
2,ControlTrue,TTTC,TTFF,Visible,3,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,red,red,blue,red,yellow
2,ControlFalse,TTTC,TTTF,Covered,4,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,blue,red,blue,red,yellow
2,CriticalCheck,CCCF,TTFF,?,1,blue,red,yellow,blue,blue,yellow,yellow,yellow,yellow,red,blue,red,yellow,blue,red,yellow,blue,blue,red,red,blue,red,yellow
3,Critical,TTTC,TTFT,?,3,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,red,blue,blue,red,yellow
3,ControlTrue,TTTC,TTFF,Visible,4,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,red,red,blue,red,yellow
3,ControlFalse,TTTC,TTTF,Covered,1,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,blue,red,blue,red,yellow
3,CriticalCheck,CCCF,TTFF,?,2,blue,red,yellow,blue,blue,yellow,yellow,yellow,yellow,red,blue,red,yellow,blue,red,yellow,blue,blue,red,red,blue,red,yellow
4,Critical,TTTC,TTFT,?,4,blue,yellow,red,blue,blue,red,blue,blue,blue,red,blue,yellow,red,blue,yellow,red,blue,blue,yellow,blue,blue,yellow,red
4,ControlTrue,TTTC,TTFF,Visible,1,blue,yellow,red,blue,blue,red,blue,blue,blue,red,blue,yellow,red,blue,yellow,red,blue,blue,yellow,yellow,blue,yellow,red
4,ControlFalse,TTTC,TTTF,Covered,2,blue,yellow,red,blue,blue,red,blue,blue,blue,red,blue,yellow,red,blue,yellow,red,blue,blue,blue,yellow,blue,yellow,red
4,CriticalCheck,CCCF,TTFF,?,3,blue,yellow,red,blue,blue,red,red,red,red,yellow,blue,yellow,red,blue,yellow,red,blue,blue,yellow,yellow,blue,yellow,red
5,Critical,CTTT,TFTT,?,1,blue,yellow,red,blue,blue,red,red,blue,blue,blue,blue,yellow,red,blue,yellow,red,blue,yellow,blue,blue,blue,yellow,red
5,ControlTrue,CTTT,FFTT,Visible,2,blue,yellow,red,blue,blue,red,red,blue,blue,blue,blue,yellow,red,blue,yellow,red,yellow,yellow,blue,blue,blue,yellow,red
5,ControlFalse,CTTT,FTTT,Covered,3,blue,yellow,red,blue,blue,red,red,blue,blue,blue,blue,yellow,red,blue,yellow,red,yellow,blue,blue,blue,blue,yellow,red
5,CriticalCheck,FCCC,FFTT,?,4,blue,yellow,red,blue,blue,red,yellow,red,red,red,blue,yellow,red,blue,yellow,red,yellow,yellow,blue,blue,blue,yellow,red
6,Critical,CTTT,TFTT,?,2,blue,yellow,red,blue,blue,red,red,blue,blue,blue,blue,yellow,red,blue,yellow,red,blue,yellow,blue,blue,blue,yellow,red
6,ControlTrue,CTTT,FFTT,Visible,3,blue,yellow,red,blue,blue,red,red,blue,blue,blue,blue,yellow,red,blue,yellow,red,yellow,yellow,blue,blue,blue,yellow,red
6,ControlFalse,CTTT,FTTT,Covered,4,blue,yellow,red,blue,blue,red,red,blue,blue,blue,blue,yellow,red,blue,yellow,red,yellow,blue,blue,blue,blue,yellow,red
6,CriticalCheck,FCCC,FFTT,?,1,blue,yellow,red,blue,blue,red,yellow,red,red,red,blue,yellow,red,blue,yellow,red,yellow,yellow,blue,blue,blue,yellow,red
7,Critical,CTTT,TFTT,?,3,red,blue,yellow,red,red,yellow,yellow,red,red,red,red,blue,yellow,red,blue,yellow,red,blue,red,red,red,blue,yellow
7,ControlTrue,CTTT,FFTT,Visible,4,red,blue,yellow,red,red,yellow,yellow,red,red,red,red,blue,yellow,red,blue,yellow,blue,blue,red,red,red,blue,yellow
7,ControlFalse,CTTT,FTTT,Covered,1,red,blue,yellow,red,red,yellow,yellow,red,red,red,red,blue,yellow,red,blue,yellow,blue,red,red,red,red,blue,yellow
7,CriticalCheck,FCCC,FFTT,?,2,red,blue,yellow,red,red,yellow,blue,yellow,yellow,yellow,red,blue,yellow,red,blue,yellow,blue,blue,red,red,red,blue,yellow
8,Critical,CTTT,TFTT,?,4,red,blue,yellow,red,red,yellow,yellow,red,red,red,red,blue,yellow,red,blue,yellow,red,blue,red,red,red,blue,yellow
8,ControlTrue,CTTT,FFTT,Visible,1,red,blue,yellow,red,red,yellow,yellow,red,red,red,red,blue,yellow,red,blue,yellow,blue,blue,red,red,red,blue,yellow
8,ControlFalse,CTTT,FTTT,Covered,2,red,blue,yellow,red,red,yellow,yellow,red,red,red,red,blue,yellow,red,blue,yellow,blue,red,red,red,red,blue,yellow
8,CriticalCheck,FCCC,FFTT,?,3,red,blue,yellow,red,red,yellow,blue,yellow,yellow,yellow,red,blue,yellow,red,blue,yellow,blue,blue,red,red,red,blue,yellow
9,Critical,TTTC,TTFT,?,1,red,blue,yellow,red,red,yellow,red,red,red,yellow,red,blue,yellow,red,blue,yellow,red,red,blue,red,red,blue,yellow
9,ControlTrue,TTTC,TTFF,Visible,2,red,blue,yellow,red,red,yellow,red,red,red,yellow,red,blue,yellow,red,blue,yellow,red,red,blue,blue,red,blue,yellow
9,ControlFalse,TTTC,TTTF,Covered,3,red,blue,yellow,red,red,yellow,red,red,red,yellow,red,blue,yellow,red,blue,yellow,red,red,red,blue,red,blue,yellow
9,CriticalCheck,CCCF,TTFF,?,4,red,blue,yellow,red,red,yellow,yellow,yellow,yellow,blue,red,blue,yellow,red,blue,yellow,red,red,blue,blue,red,blue,yellow
10,Critical,TTTC,TTFT,?,2,red,yellow,blue,red,red,blue,red,red,red,blue,red,yellow,blue,red,yellow,blue,red,red,yellow,red,red,yellow,blue
10,ControlTrue,TTTC,TTFF,Visible,3,red,yellow,blue,red,red,blue,red,red,red,blue,red,yellow,blue,red,yellow,blue,red,red,yellow,yellow,red,yellow,blue
10,ControlFalse,TTTC,TTTF,Covered,4,red,yellow,blue,red,red,blue,red,red,red,blue,red,yellow,blue,red,yellow,blue,red,red,red,yellow,red,yellow,blue
10,CriticalCheck,CCCF,TTFF,?,1,red,yellow,blue,red,red,blue,blue,blue,blue,yellow,red,yellow,blue,red,yellow,blue,red,red,yellow,yellow,red,yellow,blue
11,Critical,TTTC,TTFT,?,3,red,yellow,blue,red,red,blue,red,red,red,blue,red,yellow,blue,red,yellow,blue,red,red,yellow,red,red,yellow,blue
11,ControlTrue,TTTC,TTFF,Visible,4,red,yellow,blue,red,red,blue,red,red,red,blue,red,yellow,blue,red,yellow,blue,red,red,yellow,yellow,red,yellow,blue
11,ControlFalse,TTTC,TTTF,Covered,1,red,yellow,blue,red,red,blue,red,red,red,blue,red,yellow,blue,red,yellow,blue,red,red,red,yellow,red,yellow,blue
11,CriticalCheck,CCCF,TTFF,?,2,red,yellow,blue,red,red,blue,blue,blue,blue,yellow,red,yellow,blue,red,yellow,blue,red,red,yellow,yellow,red,yellow,blue
12,Critical,TTTC,TTFT,?,4,red,yellow,blue,red,red,blue,red,red,red,blue,red,yellow,blue,red,yellow,blue,red,red,yellow,red,red,yellow,blue
12,ControlTrue,TTTC,TTFF,Visible,1,red,yellow,blue,red,red,blue,red,red,red,blue,red,yellow,blue,red,yellow,blue,red,red,yellow,yellow,red,yellow,blue
12,ControlFalse,TTTC,TTTF,Covered,2,red,yellow,blue,red,red,blue,red,red,red,blue,red,yellow,blue,red,yellow,blue,red,red,red,yellow,red,yellow,blue
12,CriticalCheck,CCCF,TTFF,?,3,red,yellow,blue,red,red,blue,blue,blue,blue,yellow,red,yellow,blue,red,yellow,blue,red,red,yellow,yellow,red,yellow,blue
13,Critical,CTTT,TFTT,?,1,yellow,blue,red,yellow,yellow,red,red,yellow,yellow,yellow,yellow,blue,red,yellow,blue,red,yellow,blue,yellow,yellow,yellow,blue,red
13,ControlTrue,CTTT,FFTT,Visible,2,yellow,blue,red,yellow,yellow,red,red,yellow,yellow,yellow,yellow,blue,red,yellow,blue,red,blue,blue,yellow,yellow,yellow,blue,red
13,ControlFalse,CTTT,FTTT,Covered,3,yellow,blue,red,yellow,yellow,red,red,yellow,yellow,yellow,yellow,blue,red,yellow,blue,red,blue,yellow,yellow,yellow,yellow,blue,red
13,CriticalCheck,FCCC,FFTT,?,4,yellow,blue,red,yellow,yellow,red,blue,red,red,red,yellow,blue,red,yellow,blue,red,blue,blue,yellow,yellow,yellow,blue,red
14,Critical,CTTT,TFTT,?,2,yellow,blue,red,yellow,yellow,red,red,yellow,yellow,yellow,yellow,blue,red,yellow,blue,red,yellow,blue,yellow,yellow,yellow,blue,red
14,ControlTrue,CTTT,FFTT,Visible,3,yellow,blue,red,yellow,yellow,red,red,yellow,yellow,yellow,yellow,blue,red,yellow,blue,red,blue,blue,yellow,yellow,yellow,blue,red
14,ControlFalse,CTTT,FTTT,Covered,4,yellow,blue,red,yellow,yellow,red,red,yellow,yellow,yellow,yellow,blue,red,yellow,blue,red,blue,yellow,yellow,yellow,yellow,blue,red
14,CriticalCheck,FCCC,FFTT,?,1,yellow,blue,red,yellow,yellow,red,blue,red,red,red,yellow,blue,red,yellow,blue,red,blue,blue,yellow,yellow,yellow,blue,red
15,Critical,CTTT,TFTT,?,3,yellow,blue,red,yellow,yellow,red,red,yellow,yellow,yellow,yellow,blue,red,yellow,blue,red,yellow,blue,yellow,yellow,yellow,blue,red
15,ControlTrue,CTTT,FFTT,Visible,4,yellow,blue,red,yellow,yellow,red,red,yellow,yellow,yellow,yellow,blue,red,yellow,blue,red,blue,blue,yellow,yellow,yellow,blue,red
15,ControlFalse,CTTT,FTTT,Covered,1,yellow,blue,red,yellow,yellow,red,red,yellow,yellow,yellow,yellow,blue,red,yellow,blue,red,blue,yellow,yellow,yellow,yellow,blue,red
15,CriticalCheck,FCCC,FFTT,?,2,yellow,blue,red,yellow,yellow,red,blue,red,red,red,yellow,blue,red,yellow,blue,red,blue,blue,yellow,yellow,yellow,blue,red
16,Critical,CTTT,TFTT,?,4,yellow,red,blue,yellow,yellow,blue,blue,yellow,yellow,yellow,yellow,red,blue,yellow,red,blue,yellow,red,yellow,yellow,yellow,red,blue
16,ControlTrue,CTTT,FFTT,Visible,1,yellow,red,blue,yellow,yellow,blue,blue,yellow,yellow,yellow,yellow,red,blue,yellow,red,blue,red,red,yellow,yellow,yellow,red,blue
16,ControlFalse,CTTT,FTTT,Covered,2,yellow,red,blue,yellow,yellow,blue,blue,yellow,yellow,yellow,yellow,red,blue,yellow,red,blue,red,yellow,yellow,yellow,yellow,red,blue
16,CriticalCheck,FCCC,FFTT,?,3,yellow,red,blue,yellow,yellow,blue,red,blue,blue,blue,yellow,red,blue,yellow,red,blue,red,red,yellow,yellow,yellow,red,blue
17,Critical,TTTC,TTFT,?,1,yellow,red,blue,yellow,yellow,blue,yellow,yellow,yellow,blue,yellow,red,blue,yellow,red,blue,yellow,yellow,red,yellow,yellow,red,blue
17,ControlTrue,TTTC,TTFF,Visible,2,yellow,red,blue,yellow,yellow,blue,yellow,yellow,yellow,blue,yellow,red,blue,yellow,red,blue,yellow,yellow,red,red,yellow,red,blue
17,ControlFalse,TTTC,TTTF,Covered,3,yellow,red,blue,yellow,yellow,blue,yellow,yellow,yellow,blue,yellow,red,blue,yellow,red,blue,yellow,yellow,yellow,red,yellow,red,blue
17,CriticalCheck,CCCF,TTFF,?,4,yellow,red,blue,yellow,yellow,blue,blue,blue,blue,red,yellow,red,blue,yellow,red,blue,yellow,yellow,red,red,yellow,red,blue
18,Critical,TTTC,TTFT,?,2,yellow,red,blue,yellow,yellow,blue,yellow,yellow,yellow,blue,yellow,red,blue,yellow,red,blue,yellow,yellow,red,yellow,yellow,red,blue
18,ControlTrue,TTTC,TTFF,Visible,3,yellow,red,blue,yellow,yellow,blue,yellow,yellow,yellow,blue,yellow,red,blue,yellow,red,blue,yellow,yellow,red,red,yellow,red,blue
18,ControlFalse,TTTC,TTTF,Covered,4,yellow,red,blue,yellow,yellow,blue,yellow,yellow,yellow,blue,yellow,red,blue,yellow,red,blue,yellow,yellow,yellow,red,yellow,red,blue
18,CriticalCheck,CCCF,TTFF,?,1,yellow,red,blue,yellow,yellow,blue,blue,blue,blue,red,yellow,red,blue,yellow,red,blue,yellow,yellow,red,red,yellow,red,blue
19,Critical,TTTC,TTFT,?,3,green,pink,orange,green,green,orange,green,green,green,orange,green,pink,orange,green,pink,orange,green,green,pink,green,green,pink,orange
19,ControlTrue,TTTC,TTFF,Visible,4,green,pink,orange,green,green,orange,green,green,green,orange,green,pink,orange,green,pink,orange,green,green,pink,pink,green,pink,orange
19,ControlFalse,TTTC,TTTF,Covered,1,green,pink,orange,green,green,orange,green,green,green,orange,green,pink,orange,green,pink,orange,green,green,green,pink,green,pink,orange
19,CriticalCheck,CCCF,TTFF,?,2,green,pink,orange,green,green,orange,orange,orange,orange,pink,green,pink,orange,green,pink,orange,green,green,pink,pink,green,pink,orange
20,Critical,TTTC,TTFT,?,4,green,pink,orange,green,green,orange,green,green,green,orange,green,pink,orange,green,pink,orange,green,green,pink,green,green,pink,orange
20,ControlTrue,TTTC,TTFF,Visible,1,green,pink,orange,green,green,orange,green,green,green,orange,green,pink,orange,green,pink,orange,green,green,pink,pink,green,pink,orange
20,ControlFalse,TTTC,TTTF,Covered,2,green,pink,orange,green,green,orange,green,green,green,orange,green,pink,orange,green,pink,orange,green,green,green,pink,green,pink,orange
20,CriticalCheck,CCCF,TTFF,?,3,green,pink,orange,green,green,orange,orange,orange,orange,pink,green,pink,orange,green,pink,orange,green,green,pink,pink,green,pink,orange
21,Critical,CTTT,TFTT,?,1,green,pink,orange,green,green,orange,orange,green,green,green,green,pink,orange,green,pink,orange,green,pink,green,green,green,pink,orange
21,ControlTrue,CTTT,FFTT,Visible,2,green,pink,orange,green,green,orange,orange,green,green,green,green,pink,orange,green,pink,orange,pink,pink,green,green,green,pink,orange
21,ControlFalse,CTTT,FTTT,Covered,3,green,pink,orange,green,green,orange,orange,green,green,green,green,pink,orange,green,pink,orange,pink,green,green,green,green,pink,orange
21,CriticalCheck,FCCC,FFTT,?,4,green,pink,orange,green,green,orange,pink,orange,orange,orange,green,pink,orange,green,pink,orange,pink,pink,green,green,green,pink,orange
22,Critical,CTTT,TFTT,?,2,green,orange,pink,green,green,pink,pink,green,green,green,green,orange,pink,green,orange,pink,green,orange,green,green,green,orange,pink
22,ControlTrue,CTTT,FFTT,Visible,3,green,orange,pink,green,green,pink,pink,green,green,green,green,orange,pink,green,orange,pink,orange,orange,green,green,green,orange,pink
22,ControlFalse,CTTT,FTTT,Covered,4,green,orange,pink,green,green,pink,pink,green,green,green,green,orange,pink,green,orange,pink,orange,green,green,green,green,orange,pink
22,CriticalCheck,FCCC,FFTT,?,1,green,orange,pink,green,green,pink,orange,pink,pink,pink,green,orange,pink,green,orange,pink,orange,orange,green,green,green,orange,pink
23,Critical,CTTT,TFTT,?,3,green,orange,pink,green,green,pink,pink,green,green,green,green,orange,pink,green,orange,pink,green,orange,green,green,green,orange,pink
23,ControlTrue,CTTT,FFTT,Visible,4,green,orange,pink,green,green,pink,pink,green,green,green,green,orange,pink,green,orange,pink,orange,orange,green,green,green,orange,pink
23,ControlFalse,CTTT,FTTT,Covered,1,green,orange,pink,green,green,pink,pink,green,green,green,green,orange,pink,green,orange,pink,orange,green,green,green,green,orange,pink
23,CriticalCheck,FCCC,FFTT,?,2,green,orange,pink,green,green,pink,orange,pink,pink,pink,green,orange,pink,green,orange,pink,orange,orange,green,green,green,orange,pink
24,Critical,CTTT,TFTT,?,4,green,orange,pink,green,green,pink,pink,green,green,green,green,orange,pink,green,orange,pink,green,orange,green,green,green,orange,pink
24,ControlTrue,CTTT,FFTT,Visible,1,green,orange,pink,green,green,pink,pink,green,green,green,green,orange,pink,green,orange,pink,orange,orange,green,green,green,orange,pink
24,ControlFalse,CTTT,FTTT,Covered,2,green,orange,pink,green,green,pink,pink,green,green,green,green,orange,pink,green,orange,pink,orange,green,green,green,green,orange,pink
24,CriticalCheck,FCCC,FFTT,?,3,green,orange,pink,green,green,pink,orange,pink,pink,pink,green,orange,pink,green,orange,pink,orange,orange,green,green,green,orange,pink
25,Critical,TTTC,TTFT,?,1,pink,green,orange,pink,pink,orange,pink,pink,pink,orange,pink,green,orange,pink,green,orange,pink,pink,green,pink,pink,green,orange
25,ControlTrue,TTTC,TTFF,Visible,2,pink,green,orange,pink,pink,orange,pink,pink,pink,orange,pink,green,orange,pink,green,orange,pink,pink,green,green,pink,green,orange
25,ControlFalse,TTTC,TTTF,Covered,3,pink,green,orange,pink,pink,orange,pink,pink,pink,orange,pink,green,orange,pink,green,orange,pink,pink,pink,green,pink,green,orange
25,CriticalCheck,CCCF,TTFF,?,4,pink,green,orange,pink,pink,orange,orange,orange,orange,green,pink,green,orange,pink,green,orange,pink,pink,green,green,pink,green,orange
26,Critical,TTTC,TTFT,?,2,pink,green,orange,pink,pink,orange,pink,pink,pink,orange,pink,green,orange,pink,green,orange,pink,pink,green,pink,pink,green,orange
26,ControlTrue,TTTC,TTFF,Visible,3,pink,green,orange,pink,pink,orange,pink,pink,pink,orange,pink,green,orange,pink,green,orange,pink,pink,green,green,pink,green,orange
26,ControlFalse,TTTC,TTTF,Covered,4,pink,green,orange,pink,pink,orange,pink,pink,pink,orange,pink,green,orange,pink,green,orange,pink,pink,pink,green,pink,green,orange
26,CriticalCheck,CCCF,TTFF,?,1,pink,green,orange,pink,pink,orange,orange,orange,orange,green,pink,green,orange,pink,green,orange,pink,pink,green,green,pink,green,orange
27,Critical,TTTC,TTFT,?,3,pink,green,orange,pink,pink,orange,pink,pink,pink,orange,pink,green,orange,pink,green,orange,pink,pink,green,pink,pink,green,orange
27,ControlTrue,TTTC,TTFF,Visible,4,pink,green,orange,pink,pink,orange,pink,pink,pink,orange,pink,green,orange,pink,green,orange,pink,pink,green,green,pink,green,orange
27,ControlFalse,TTTC,TTTF,Covered,1,pink,green,orange,pink,pink,orange,pink,pink,pink,orange,pink,green,orange,pink,green,orange,pink,pink,pink,green,pink,green,orange
27,CriticalCheck,CCCF,TTFF,?,2,pink,green,orange,pink,pink,orange,orange,orange,orange,green,pink,green,orange,pink,green,orange,pink,pink,green,green,pink,green,orange
28,Critical,TTTC,TTFT,?,4,pink,orange,green,pink,pink,green,pink,pink,pink,green,pink,orange,green,pink,orange,green,pink,pink,orange,pink,pink,orange,green
28,ControlTrue,TTTC,TTFF,Visible,1,pink,orange,green,pink,pink,green,pink,pink,pink,green,pink,orange,green,pink,orange,green,pink,pink,orange,orange,pink,orange,green
28,ControlFalse,TTTC,TTTF,Covered,2,pink,orange,green,pink,pink,green,pink,pink,pink,green,pink,orange,green,pink,orange,green,pink,pink,pink,orange,pink,orange,green
28,CriticalCheck,CCCF,TTFF,?,3,pink,orange,green,pink,pink,green,green,green,green,orange,pink,orange,green,pink,orange,green,pink,pink,orange,orange,pink,orange,green
29,Critical,CTTT,TFTT,?,1,pink,orange,green,pink,pink,green,green,pink,pink,pink,pink,orange,green,pink,orange,green,pink,orange,pink,pink,pink,orange,green
29,ControlTrue,CTTT,FFTT,Visible,2,pink,orange,green,pink,pink,green,green,pink,pink,pink,pink,orange,green,pink,orange,green,orange,orange,pink,pink,pink,orange,green
29,ControlFalse,CTTT,FTTT,Covered,3,pink,orange,green,pink,pink,green,green,pink,pink,pink,pink,orange,green,pink,orange,green,orange,pink,pink,pink,pink,orange,green
29,CriticalCheck,FCCC,FFTT,?,4,pink,orange,green,pink,pink,green,orange,green,green,green,pink,orange,green,pink,orange,green,orange,orange,pink,pink,pink,orange,green
30,Critical,CTTT,TFTT,?,2,pink,orange,green,pink,pink,green,green,pink,pink,pink,pink,orange,green,pink,orange,green,pink,orange,pink,pink,pink,orange,green
30,ControlTrue,CTTT,FFTT,Visible,3,pink,orange,green,pink,pink,green,green,pink,pink,pink,pink,orange,green,pink,orange,green,orange,orange,pink,pink,pink,orange,green
30,ControlFalse,CTTT,FTTT,Covered,4,pink,orange,green,pink,pink,green,green,pink,pink,pink,pink,orange,green,pink,orange,green,orange,pink,pink,pink,pink,orange,green
30,CriticalCheck,FCCC,FFTT,?,1,pink,orange,green,pink,pink,green,orange,green,green,green,pink,orange,green,pink,orange,green,orange,orange,pink,pink,pink,orange,green
31,Critical,CTTT,TFTT,?,3,orange,green,pink,orange,orange,pink,pink,orange,orange,orange,orange,green,pink,orange,green,pink,orange,green,orange,orange,orange,green,pink
31,ControlTrue,CTTT,FFTT,Visible,4,orange,green,pink,orange,orange,pink,pink,orange,orange,orange,orange,green,pink,orange,green,pink,green,green,orange,orange,orange,green,pink
31,ControlFalse,CTTT,FTTT,Covered,1,orange,green,pink,orange,orange,pink,pink,orange,orange,orange,orange,green,pink,orange,green,pink,green,orange,orange,orange,orange,green,pink
31,CriticalCheck,FCCC,FFTT,?,2,orange,green,pink,orange,orange,pink,green,pink,pink,pink,orange,green,pink,orange,green,pink,green,green,orange,orange,orange,green,pink
32,Critical,CTTT,TFTT,?,4,orange,green,pink,orange,orange,pink,pink,orange,orange,orange,orange,green,pink,orange,green,pink,orange,green,orange,orange,orange,green,pink
32,ControlTrue,CTTT,FFTT,Visible,1,orange,green,pink,orange,orange,pink,pink,orange,orange,orange,orange,green,pink,orange,green,pink,green,green,orange,orange,orange,green,pink
32,ControlFalse,CTTT,FTTT,Covered,2,orange,green,pink,orange,orange,pink,pink,orange,orange,orange,orange,green,pink,orange,green,pink,green,orange,orange,orange,orange,green,pink
32,CriticalCheck,FCCC,FFTT,?,3,orange,green,pink,orange,orange,pink,green,pink,pink,pink,orange,green,pink,orange,green,pink,green,green,orange,orange,orange,green,pink
33,Critical,TTTC,TTFT,?,1,orange,green,pink,orange,orange,pink,orange,orange,orange,pink,orange,green,pink,orange,green,pink,orange,orange,green,orange,orange,green,pink
33,ControlTrue,TTTC,TTFF,Visible,2,orange,green,pink,orange,orange,pink,orange,orange,orange,pink,orange,green,pink,orange,green,pink,orange,orange,green,green,orange,green,pink
33,ControlFalse,TTTC,TTTF,Covered,3,orange,green,pink,orange,orange,pink,orange,orange,orange,pink,orange,green,pink,orange,green,pink,orange,orange,orange,green,orange,green,pink
33,CriticalCheck,CCCF,TTFF,?,4,orange,green,pink,orange,orange,pink,pink,pink,pink,green,orange,green,pink,orange,green,pink,orange,orange,green,green,orange,green,pink
34,Critical,TTTC,TTFT,?,2,orange,pink,green,orange,orange,green,orange,orange,orange,green,orange,pink,green,orange,pink,green,orange,orange,pink,orange,orange,pink,green
34,ControlTrue,TTTC,TTFF,Visible,3,orange,pink,green,orange,orange,green,orange,orange,orange,green,orange,pink,green,orange,pink,green,orange,orange,pink,pink,orange,pink,green
34,ControlFalse,TTTC,TTTF,Covered,4,orange,pink,green,orange,orange,green,orange,orange,orange,green,orange,pink,green,orange,pink,green,orange,orange,orange,pink,orange,pink,green
34,CriticalCheck,CCCF,TTFF,?,1,orange,pink,green,orange,orange,green,green,green,green,pink,orange,pink,green,orange,pink,green,orange,orange,pink,pink,orange,pink,green
35,Critical,TTTC,TTFT,?,3,orange,pink,green,orange,orange,green,orange,orange,orange,green,orange,pink,green,orange,pink,green,orange,orange,pink,orange,orange,pink,green
35,ControlTrue,TTTC,TTFF,Visible,4,orange,pink,green,orange,orange,green,orange,orange,orange,green,orange,pink,green,orange,pink,green,orange,orange,pink,pink,orange,pink,green
35,ControlFalse,TTTC,TTTF,Covered,1,orange,pink,green,orange,orange,green,orange,orange,orange,green,orange,pink,green,orange,pink,green,orange,orange,orange,pink,orange,pink,green
35,CriticalCheck,CCCF,TTFF,?,2,orange,pink,green,orange,orange,green,green,green,green,pink,orange,pink,green,orange,pink,green,orange,orange,pink,pink,orange,pink,green
36,Critical,TTTC,TTFT,?,4,orange,pink,green,orange,orange,green,orange,orange,orange,green,orange,pink,green,orange,pink,green,orange,orange,pink,orange,orange,pink,green
36,ControlTrue,TTTC,TTFF,Visible,1,orange,pink,green,orange,orange,green,orange,orange,orange,green,orange,pink,green,orange,pink,green,orange,orange,pink,pink,orange,pink,green
36,ControlFalse,TTTC,TTTF,Covered,2,orange,pink,green,orange,orange,green,orange,orange,orange,green,orange,pink,green,orange,pink,green,orange,orange,orange,pink,orange,pink,green
36,CriticalCheck,CCCF,TTFF,?,3,orange,pink,green,orange,orange,green,green,green,green,pink,orange,pink,green,orange,pink,green,orange,orange,pink,pink,orange,pink,green
